Words,,,,,Answers
'Rain', 'check', 'and', 'raincheck', '',Rain rain go away...checking with rain whether rain will like a raincheck.  A post-dated bribe to delay precipitation
'Lady', 'bug', 'and', 'Ladybug', '',
'War', 'tea', 'and', 'Warranty', '',War 'n' tea (obvious one) Tea and warranty couldn't stop war. Boston Tea Party
'Oxy', 'moron', 'and', 'oxymoron', '',High praises for the moron. His moron-ness.
'Seed', 'ling', 'and', 'seedling', '',
'Back', 'log', 'and', 'backlog', '',"Back'+ln(2)*'log'=backlog Back and log are constants and base is 2 Backlogs are always on my back? Logs(logarithm) did not have my back,so got backlog Guess I am done with my backlogs Logged back to clear backlogs Backlog of logs at the back(yard) Lo(n)g back~backlog Logs at the back my mind are creating backlogs of sleeping hours Interesting GOL (like a vicious circle in hindi) Ironically, if you have only one log on your back, there's no backlog.(Log 1 = 0)"
'Price', 'less', 'and', 'priceless', '',100% discount
'Sugar', 'daddy', 'and', 'sugar', 'daddy',
'Trophy', 'wife', 'and', 'trophy', 'wife',
'Pain', 'killer', 'and', 'painkiller', '',Breaking bread numbs loneliness
'Brat', 'worst', 'and', 'bratwurst', '',
'Birth', 'mark', 'and', 'birthmark', '',
'More', 'fine', 'and', 'morphine', '',
'Wo', 'man', 'and', 'woman', '',
'Just', 'ice', 'and', 'justice', '',
'Life', 'size', 'and', 'life', '',
'Quest', 'ions', 'and', 'questions', '',
'Yes', 'you', 'and', 'labels', '',
'Bland', 'direct', 'and', 'straight', '',
'Die', 'Sel', 'and', 'diesel', '',
'Pet', 'rol', 'and', 'petrol', '',
'To', 'wed', 'and', 'towed', '',To wed is like to get towed?
'Pot', 'head', 'and', 'pothead', '',
'Hook', 'up', 'and', 'hook', 'up',
'In', 'vent', 'and', 'invent', '',
'Can', 'did', 'and', 'candid', '',
'Con', 'tact', 'and', 'contact', '',
'Writ', 'er', 'and', 'writer', '',
'Ven', 'ue', 'and', 'venue', '',
'He', 'at', 'and', 'heat', '',
'Night’,'stand’, 'and','one night stand’,“,"Both are born for /because of need ,night and convenience. When they meet each other they share things,secrets ..sometimes nightstand becomes message bearer for the night stand. Both are need of the night and question their existences in day light. So this is not wordplay..sorry couldn't help Both stand short(opposite of stands tall)"
'head’,'lines’,'and’,'head lines’,,"Head line Headline Right off the top of head:Multiple lines compete,but few make it to the top,make the cut and get noticed.carry the weight of major experiences..joy,frown,worry.()messenger from past and harbinger of future (head line used in palmistry).both are bold,not necessarily beautiful though. Just similarities between two I have two 1) Ravan 2) a multiple-murder crime scene 3) Newspapers / news channels guess I need to explain my answers then 1) Ravan - line of heads made headlines in the story 2) multiple severed heads (head line) makes the headlines 3) newspapers (headlines) makes one worried and gives head lines"
'auto’,'pilot’,“and”,'auto pilot’,'”,"For an auto pilot ..sky is the limit even though it cruises on road.software used for this is his confidence and the control parameters are set by the melody of the song playing and his whistling(tunes) acts as indicators.it can put autopilot to shame by moving in a zigzag path, unlike straight level navigated by autopilot.autopilot can guarantee you a bland journey..where as an auto pilot practicing autopilot can take you for a ride full of thrills."
